DateSim,Province_ID,Province,DateForecast,Daily_Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2020,50,เชียงใหม่,Forecastmon01,89.040016,3032.8402,100.0,70784.29119999999,67751.45270000001,0,0
01/01/2020,51,ลำพูน,Forecastmon01,88.37914,1081.3298,100.0,18546.1031,17464.7726,0,0
01/01/2020,58,แม่ฮ่องสอน,Forecastmon01,97.517,1.7028,100.0,101.2838,99.58109999999999,0,0
01/01/2020,62,กำแพงเพชร,Forecastmon01,83.05714,86.42830000000001,100.0,1706.2482,1619.8200000000002,0,0
01/01/2020,63,ตาก,Forecastmon01,86.755356,808.1365000000001,100.0,9195.7514,8387.6155,0,0
01/01/2021,50,เชียงใหม่,Forecastmon13,389.76474,86624.18749999999,100.0,1052449.5972,965825.4057,3,3
01/01/2021,51,ลำพูน,Forecastmon13,386.87183,37994.59,100.0,271718.3393,233723.7495,3,3
01/01/2021,58,แม่ฮ่องสอน,Forecastmon13,426.872,25.8514,100.0,1494.0986,1468.2472,3,3
01/01/2021,62,กำแพงเพชร,Forecastmon13,363.57523,16813.6715,100.0,25772.405600000002,8958.7341,3,3
01/01/2021,63,ตาก,Forecastmon13,379.76385,106581.53199999999,100.0,134991.3696,28409.837700000004,3,3
01/01/2022,50,เชียงใหม่,Forecastmon25,80.75936,71259.31719999999,100.0,172300.3258,101041.0112,3,3
01/01/2022,51,ลำพูน,Forecastmon25,80.15996,31023.360500000003,100.0,44033.1397,13009.7782,3,3
01/01/2022,58,แม่ฮ่องสอน,Forecastmon25,88.448,21.293200000000002,100.0,255.35850000000002,234.0653,0,3
01/01/2022,62,กำแพงเพชร,Forecastmon25,75.3329,13505.107899999999,100.0,4178.3483,-9326.759600000001,3,3
01/01/2022,63,ตาก,Forecastmon25,78.68718,86071.4805,100.0,21885.6438,-64185.8365,3,3
01/01/2023,50,เชียงใหม่,Forecastmon37,3.9490325,57823.0287,100.0,143914.6577,86091.62879999999,3,3
01/01/2023,51,ลำพูน,Forecastmon37,3.9197226,25274.9787,100.0,36589.3419,11314.363900000002,3,3
01/01/2023,58,แม่ฮ่องสอน,Forecastmon37,4.325,17.8806,100.0,211.218,193.3375,3,3
01/01/2023,62,กำแพงเพชร,Forecastmon37,3.683686,11337.2068,100.0,3507.2526,-7829.9541,3,3
01/01/2023,63,ตาก,Forecastmon37,3.8477013,70934.5662,100.0,18243.2519,-52691.3142,3,3
01/01/2024,50,เชียงใหม่,Forecastmon49,0.0,60193.723699999995,100.0,133024.2868,72830.5607,3,3
01/01/2024,51,ลำพูน,Forecastmon49,0.0,27403.1405,100.0,33735.7569,6332.6161,3,3
